Teilnehmer,Spieler,Startelf/Bank
Ian Faust,Haaland,Startelf
Ian Faust,Awoniyi,Startelf
Ian Faust,Malen,Startelf
Ian Faust,Blanco,Bank
Ian Faust,Bonga,Bank
Ian Faust,Kostic,Startelf
Ian Faust,Szoboszlai,Startelf
Ian Faust,Dorsch,Startelf
Ian Faust,Andrich,Startelf
Ian Faust,Raschl,Bank
Ian Faust,Lemperle,Bank
Ian Faust,Sertdemir,Bank
Ian Faust,Nebel,Bank
Ian Faust,Dardai,Startelf
Ian Faust,Hinteregger,Startelf
Ian Faust,Scally,Startelf
Ian Faust,Raum,Bank
Ian Faust,MacNutty,Bank
Ian Faust,Asta,Bank
Ian Faust,Müller,Startelf
Ian Faust,Bredlow,Bank
Ian Faust,Ramaj,Bank
Karl-Heiz Rumgekicke,Burkhardt,Startelf
Karl-Heiz Rumgekicke,Borré,Startelf
Karl-Heiz Rumgekicke,Kruse,Startelf
Karl-Heiz Rumgekicke,Selke,Bank
Karl-Heiz Rumgekicke,Sankoh,Bank
Karl-Heiz Rumgekicke,Dorsch,Startelf
Karl-Heiz Rumgekicke,Dahoud,Startelf
Karl-Heiz Rumgekicke,Gnabry,Startelf
Karl-Heiz Rumgekicke,Nkunku,Startelf
Karl-Heiz Rumgekicke,Jastrzembski,Bank
Karl-Heiz Rumgekicke,Civeja,Bank
Karl-Heiz Rumgekicke,Schöpf,Bank
Karl-Heiz Rumgekicke,Lemperle,Bank
Karl-Heiz Rumgekicke,Sosa,Startelf
Karl-Heiz Rumgekicke,Davies,Startelf
Karl-Heiz Rumgekicke,Orban,Startelf
Karl-Heiz Rumgekicke,Scally,Bank
Karl-Heiz Rumgekicke,Asta,Bank
Karl-Heiz Rumgekicke,Hübers,Bank
Karl-Heiz Rumgekicke,Zentner,Startelf
Karl-Heiz Rumgekicke,Rieß,Bank
Karl-Heiz Rumgekicke,Dahmen,Bank
Mertes Acker,Haaland,Startelf
Mertes Acker,Burkhardt,Startelf
Mertes Acker,Selke,Startelf
Mertes Acker,Moukoko,Bank
Mertes Acker,Abdullahi,Bank
Mertes Acker,Schlager,Startelf
Mertes Acker,Dorsch,Startelf
Mertes Acker,Dani Olmo,Startelf
Mertes Acker,Seguin,Startelf
Mertes Acker,Kamara,Bank
Mertes Acker,Tauer,Bank
Mertes Acker,Wosz,Bank
Mertes Acker,Cissé,Bank
Mertes Acker,Raum,Startelf
Mertes Acker,Ginter,Startelf
Mertes Acker,Pieper,Startelf
Mertes Acker,Hübers,Bank
Mertes Acker,Scally,Bank
Mertes Acker,Asta,Bank
Mertes Acker,Kobel,Startelf
Mertes Acker,Tschauner,Bank
Mertes Acker,Unbehaun,Bank
Niko_Okalov,Silva,Startelf
Niko_Okalov,Schick,Startelf
Niko_Okalov,Jovetic,Startelf
Niko_Okalov,Blanco,Bank
Niko_Okalov,Obuz,Bank
Niko_Okalov,Forsberg,Startelf
Niko_Okalov,Baumgartner,Startelf
Niko_Okalov,Nkunku,Startelf
Niko_Okalov,Demirbay,Startelf
Niko_Okalov,Raebiger,Bank
Niko_Okalov,Papadopoulos,Bank
Niko_Okalov,Noß,Bank
Niko_Okalov,Nebel,Bank
Niko_Okalov,Bogarde,Startelf
Niko_Okalov,Kossounou,Startelf
Niko_Okalov,Pekarik,Startelf
Niko_Okalov,Ito,Bank
Niko_Okalov,Scally,Bank
Niko_Okalov,MacNutty,Bank
Niko_Okalov,Schwolow,Startelf
Niko_Okalov,Körber,Bank
Niko_Okalov,Lotka,Bank
Rheumario,Borré,Startelf
Rheumario,Zoller,Startelf
Rheumario,Dabbur,Startelf
Rheumario,Belfodil,Bank
Rheumario,Hwang,Bank
Rheumario,Vargas,Startelf
Rheumario,Sow,Startelf
Rheumario,Didavi,Startelf
Rheumario,Dorsch,Startelf
Rheumario,Höfler,Bank
Rheumario,Tousart,Bank
Rheumario,Lee,Bank
Rheumario,Adams,Bank
Rheumario,Schlotterbeck,Startelf
Rheumario,Pieper,Startelf
Rheumario,da Costa,Startelf
Rheumario,Henrichs,Bank
Rheumario,Hübner,Bank
Rheumario,Fosu-Mensah,Bank
Rheumario,Horn,Startelf
Rheumario,Schwäbe,Bank
Rheumario,Urbig,Bank
Sebastian Olbertz,Haaland,Startelf
Sebastian Olbertz,Awoniyi,Startelf
Sebastian Olbertz,Bebou,Startelf
Sebastian Olbertz,Redan,Bank
Sebastian Olbertz,Hartwig,Bank
Sebastian Olbertz,Dani Olmo,Startelf
Sebastian Olbertz,Wirtz,Startelf
Sebastian Olbertz,Dahoud,Startelf
Sebastian Olbertz,Serdar,Startelf
Sebastian Olbertz,Papela,Bank
Sebastian Olbertz,Stendera,Bank
Sebastian Olbertz,Consbruch,Bank
Sebastian Olbertz,Tauer,Bank
Sebastian Olbertz,Netz,Startelf
Sebastian Olbertz,Uduokhai,Startelf
Sebastian Olbertz,Guerrero,Startelf
Sebastian Olbertz,Asta,Bank
Sebastian Olbertz,Kratzer,Bank
Sebastian Olbertz,Poulsen,Bank
Sebastian Olbertz,Luthe,Startelf
Sebastian Olbertz,Rönnow,Bank
Sebastian Olbertz,Busk,Bank
